"customerid","recency","frequency","monetary","segment"
"12346","325 days 02:33:00","2","0.00","Lost"
"12347","1 day 20:58:00","7","4310.00","Regular"
"12348","74 days 23:37:00","4","1797.24","Regular"
"12349","18 days 02:59:00","1","1757.55","Regular"
"12350","309 days 20:49:00","1","334.40","Lost"
"12352","35 days 22:13:00","11","1545.41","Loyal"
"12353","203 days 19:03:00","1","89.00","Lost"
"12354","231 days 23:39:00","1","1079.40","Lost"
"12355","213 days 23:01:00","1","459.40","Lost"
"12356","22 days 04:10:00","3","2811.43","Regular"
"12357","32 days 20:43:00","1","6207.67","Regular"
"12358","1 day 02:24:00","2","1168.06","Regular"
"12359","7 days 01:29:00","6","6245.53","Regular"
"12360","51 days 21:28:00","3","2662.06","Regular"
"12361","286 days 22:59:00","1","189.90","Lost"
"12362","2 days 21:10:00","13","5154.58","Loyal"
"12363","109 days 02:32:00","2","552.00","Regular"
"12364","7 days 02:28:00","4","1313.10","Regular"
"12365","290 days 22:46:00","3","320.69","Lost"
"12367","3 days 20:02:00","1","168.90","New"
"12370","50 days 21:59:00","4","3545.69","Regular"
"12371","44 days 02:34:00","2","1887.96","Regular"
"12372","71 days 00:38:00","3","1298.04","Regular"
"12373","310 days 23:40:00","1","364.60","Lost"
"12374","24 days 21:13:00","1","742.93","Regular"
"12375","2 days 01:23:00","3","455.42","Regular"
"12377","314 days 21:05:00","2","1628.12","Lost"
"12378","129 days 02:16:00","1","4008.62","Regular"
"12379","81 days 02:41:00","3","850.29","Regular"
"12380","21 days 01:23:00","5","2720.56","Regular"
"12381","4 days 00:06:00","6","1803.96","Regular"
"12383","184 days 04:48:00","6","1839.31","Lost"
"12384","28 days 04:11:00","3","566.16","Regular"
"12386","337 days 00:13:00","2","401.90","Lost"
"12388","15 days 00:20:00","6","2780.66","Regular"
"12390","79 days 03:17:00","1","549.84","Regular"
"12391","21 days 00:43:00","1","460.89","Regular"
"12393","71 days 21:09:00","4","1582.60","Regular"
"12394","63 days 04:42:00","2","1272.48","Regular"
"12395","15 days 00:30:00","15","2998.28","Loyal"
"12397","35 days 02:58:00","2","2409.90","Regular"
"12398","45 days 02:23:00","1","1635.66","Regular"
"12399","118 days 23:35:00","4","1108.65","Regular"
"12401","302 days 23:00:00","1","84.30","Lost"
"12402","322 days 23:01:00","1","225.60","Lost"
"12403","49 days 01:50:00","2","409.70","Regular"
"12405","148 days 03:58:00","1","1710.39","Regular"
"12406","21 days 17:28:00","3","3280.75","Regular"
"12407","49 days 02:39:00","5","1708.12","Regular"
"12408","32 days 00:20:00","9","2842.57","Regular"
"12409","78 days 02:12:00","7","11056.93","Regular"
"12410","300 days 21:03:00","3","681.08","Lost"
"12412","74 days 02:34:00","3","1226.88","Regular"
"12413","66 days 03:50:00","5","694.15","Regular"
"12414","216 days 21:59:00","3","562.41","Lost"
"12415","23 days 22:28:00","26","123725.45","Loyal"
"12417","2 days 21:58:00","12","3578.80","Loyal"
"12418","112 days 01:42:00","1","668.58","Regular"
